hits,share
16116,75
14443,120
11369,35
8924,39
8852,36
8541,27
8206,40
7522,25
7031,31
6715,24
6696,65
6102,58
6038,21
5739,75
5663,23
5396,19
5157,22
4674,16
4165,16
3821,16
3624,13
3560,42
3370,34
3250,44
3090,19
3067,38
2659,47
2457,13
2325,10
2258,13
2172,25
2164,18
2135,7
1923,4
1923,58
1880,11
1833,23
1702,11
1626,7
1528,4
1524,11
1351,5
1345,4
1339,11
1337,5
1301,3
1264,14
1169,16
1129,3
1090,5
1068,3
928,4
912,4
906,3
900,2
898,5
840,5
791,3
791,5
785,3
776,5
753,5
753,4
747,6
741,6
695,4
613,0
605,3
534,0
516,1
511,2
499,0
495,1
480,0
435,0
396,0
391,1
366,0
348,0
335,1
2,0
4315,19
4243,11
3783,5
3434,19
2369,42
2350,19
2246,15
1830,12
1682,12
1679,10
1675,22
1478,9
1460,4
1357,16
1275,22
1216,10
1154,4
1131,6
1131,22
1034,21
1028,7
1016,4
881,4
879,11
872,2
804,3
789,11
746,15
740,3
736,2
692,9
671,3
668,3
621,5
599,4
596,1
596,7
585,4
583,2
579,2
544,1
534,2
524,2
506,6
494,1
456,2
446,1
366,0
333,0
310,0
300,0
291,1
288,2
285,1
280,1
206,0
