Data,fb,ins,FB
2021-01-01T00:00:00,32,0,0
2021-01-02T00:00:00,37,0,0
2021-01-03T00:00:00,39,0,0
2021-01-04T00:00:00,19,0,0
2021-01-05T00:00:00,44,0,0
2021-01-06T00:00:00,32,0,0
2021-01-07T00:00:00,25,0,0
2021-01-08T00:00:00,30,0,0
2021-01-09T00:00:00,36,0,0
2021-01-10T00:00:00,29,0,0
2021-01-11T00:00:00,35,0,0
2021-01-12T00:00:00,29,0,0
2021-01-13T00:00:00,38,0,0
2021-01-14T00:00:00,29,0,0
2021-01-15T00:00:00,45,0,0
2021-01-16T00:00:00,46,0,0
2021-01-17T00:00:00,33,0,0
2021-01-18T00:00:00,36,0,0
2021-01-19T00:00:00,41,0,0
2021-01-20T00:00:00,31,0,0
2021-01-21T00:00:00,31,0,0
2021-01-22T00:00:00,36,0,0
2021-01-23T00:00:00,32,0,0
2021-01-24T00:00:00,32,0,0
2021-01-25T00:00:00,34,0,0
2021-01-26T00:00:00,31,0,0
2021-01-27T00:00:00,37,0,0
2021-01-28T00:00:00,34,0,0
2021-01-29T00:00:00,34,0,0
2021-01-30T00:00:00,32,0,0
2021-01-31T00:00:00,40,0,0
2021-02-01T00:00:00,23,0,0
2021-02-02T00:00:00,21,0,0
2021-02-03T00:00:00,23,0,0
2021-02-04T00:00:00,28,0,0
2021-02-05T00:00:00,35,0,0
2021-02-06T00:00:00,40,0,0
2021-02-07T00:00:00,33,0,0
2021-02-08T00:00:00,19,0,0
2021-02-09T00:00:00,20,0,0
2021-02-10T00:00:00,19,0,0
2021-02-11T00:00:00,22,0,0
2021-02-12T00:00:00,20,0,0
2021-02-13T00:00:00,22,0,0
2021-02-14T00:00:00,31,0,0
2021-02-15T00:00:00,36,0,0
2021-02-16T00:00:00,32,0,0
2021-02-17T00:00:00,22,0,0
2021-02-18T00:00:00,23,0,0
2021-02-19T00:00:00,28,0,0
2021-02-20T00:00:00,30,0,0
2021-02-21T00:00:00,30,0,0
2021-02-22T00:00:00,28,0,0
2021-02-23T00:00:00,40,0,0
2021-02-24T00:00:00,30,0,0
2021-02-25T00:00:00,36,0,0
2021-02-26T00:00:00,25,0,0
2021-02-27T00:00:00,22,0,0
2021-02-28T00:00:00,30,0,0
2021-03-01T00:00:00,31,0,0
2021-03-02T00:00:00,42,0,0
2021-03-03T00:00:00,44,0,0
2021-03-04T00:00:00,23,0,0
2021-03-05T00:00:00,30,0,0
2021-03-06T00:00:00,33,0,0
2021-03-07T00:00:00,25,0,0
2021-03-08T00:00:00,39,0,0
2021-03-09T00:00:00,36,0,0
2021-03-10T00:00:00,30,0,0
2021-03-11T00:00:00,36,0,0
2021-03-12T00:00:00,37,0,0
2021-03-13T00:00:00,42,0,0
2021-03-14T00:00:00,27,0,0
